model,condition,gold_label,pred_acceptable,pred_depends,pred_unacceptable
llama,culture_only,acceptable,29,0,1
llama,culture_only,depends,19,0,11
llama,culture_only,unacceptable,6,0,24
llama,few_shot_policy,acceptable,30,0,0
llama,few_shot_policy,depends,12,8,10
llama,few_shot_policy,unacceptable,5,1,24
llama,policy,acceptable,30,0,0
llama,policy,depends,12,4,14
llama,policy,unacceptable,1,1,28
openai,culture_only,acceptable,28,2,0
openai,culture_only,depends,10,14,6
openai,culture_only,unacceptable,2,7,21
openai,few_shot_policy,acceptable,29,1,0
openai,few_shot_policy,depends,7,18,5
openai,few_shot_policy,unacceptable,1,2,27
openai,policy,acceptable,29,1,0
openai,policy,depends,8,16,6
openai,policy,unacceptable,0,5,25
